storeId,disName,addr,areaId,gpsLat,gpsLng,createDate,phone,status,pic,updateDate,updator,descp,payCash,payCredit,payLINE,payIcp,withoutMofunInvoice,payEndPriceAtRent,alertEmail,alertChannel,priceType,saleInsuranceAbled,frontInsuranceDesc,checkOnlyClientLicense,checkAdminUserCode,frontDisName,outsideServiceReturn,frontRefundRuleDesc,pdfDisName,isFrontRentable,keyBoxId,isNoStaffStore,storeGroupId,oneDayRentAble,isForeignRentOnSite,isShowStoreInfoBtn,isPaymentRequired,entranceType,exitType,memoNote,skipProdImgType,payEndPriceAtDeposit
20,屏東墾丁嬑順店,946屏東縣恆春鎮新興路24號,11,120.7431795,22.003923,,0915514930,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,屏東墾丁嬑順店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),屏東墾丁嬑順店,T,,F,,F,T,F,F,,,,none,F
21,嘉義嬑順店,600嘉義市西區中興路56號,12,120.4387186,23.4806773,,0982990749,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,嘉義嬑順店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),嘉義嬑順店,T,,F,,F,T,F,F,,,,none,F
22,台中松江停車場租機車,台中市東區復興路四段111巷２號,2,120.6832572,24.1357952,,04-2226-2524,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,台中松江停車場租機車,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),台中松江停車場租機車,T,,F,,F,T,F,F,,,,none,F
23,花蓮煙波大飯店,花蓮市中美路142號,13,121.622,23.986,,03-8222666,1,,,,,F,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,花蓮煙波大飯店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),花蓮煙波大飯店,T,,F,,F,T,F,F,,,,none,F
24,台南煙波大飯店,台南市中西區永福路一段269號,5,120.2,22.989,,06-2231-605,1,,,,,F,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,台南煙波大飯店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),台南煙波大飯店,T,,F,,F,T,F,F,,,,none,F
25,新竹煙波大飯店,新竹市東區民生路177號,8,120.976,24.811,,02-2655-9021,1,,,,,F,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,新竹煙波大飯店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),新竹煙波大飯店,T,,F,,F,T,F,F,,,,none,F
26,蘇澳煙波大飯店,宜蘭縣蘇澳鎮中正路38號,14,121.85,24.59,,03-9966600,1,,,,,F,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,蘇澳煙波大飯店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),蘇澳煙波大飯店,T,,F,,F,T,F,F,,,,none,F
27,彰化羽勝車行,彰化縣和美鎮彰美路四段151號,7,120.512365,24.103742,,04-755-5055,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,彰化羽勝車行,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),彰化羽勝車行,T,,F,,F,T,F,F,,,,none,F
28,台中翔順朝馬店,台中市西屯區台灣大道三段613號,2,120.636907,24.170459,,04-2258-9245,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,台中翔順朝馬店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),台中翔順朝馬店,T,,F,,F,T,F,F,,,,none,F
29,台中翔順烏日高鐵店,台中市烏日區站二路191號,2,120.615532,24.11456,,04-2338-3052,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,台中翔順烏日高鐵店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),台中翔順烏日高鐵店,T,,F,,F,T,F,F,,,,none,F
30,南投埔里順騎自然店,南投縣埔里鎮水頭里水頭路77號,15,23.953749,120.973886,,04-9298-7735,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,南投埔里順騎自然店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),南投埔里順騎自然店,T,,F,,F,T,F,F,,,,none,F
31,test測試店家,台北市萬華區康定路46-4號,1,,,,0226559021,1,,,,,T,T,F,F,F,F,,,TF,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,test測試店家,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),test測試店家,T,,F,,F,T,F,F,,,,none,F
32," 鼎峰租機車",新北市,1,23423,234234,2020/09/,0226559021,1,store/1-9c83610a0ea5f7b6d98.png,20201213092329,admin,,T,T,F,F,F,T,timfan1121@gmail.com,https://hooks.slack.com/services/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,TF,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T," 鼎峰租機車",F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限)," 鼎峰租機車",T,,F,,F,T,F,F,,,,none,F
33,一流機車店,台北市萬華區康定路46-4號,1,,,,0226559021,1,,,,,T,F,F,F,T,T,,,ONEFLOW,F,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,F,一流機車店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),一流機車店,T,,F,,F,T,F,F,,,,none,F
34,高雄欣興租車,807高雄市三民區建國二路258號,16,"22.639652896619474 ",120.30487005962924,,072357899,1,,,,,T,T,F,F,F,T,headquarters@zocha.com.tw,,SS,F,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,高雄欣興租車,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),高雄欣興租車,T,,F,,F,T,F,F,,,,none,F
35,明正機車行(松江測),123,1,,,,123,1,,,,,T,F,F,F,T,T,,,MINGZHENGV2,T,,F,T,明正機車行,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),明正機車行,T,,F,,F,T,F,F,,,,none,F
36,苗栗崎頂東勳輕旅,基隆市中正區義一路71號,1,,,,0224280412,1,,,,,T,T,F,F,F,F,,,GNB,F,,ID,F,苗栗崎頂東勳輕旅,T,,苗栗崎頂東勳輕旅,T,,F,,F,T,F,F,,,,none,F
37,ZOCHA高雄站前店,123,16,22.637294,120.305743,,07-2367771,1,,,,,T,T,T,T,F,F,zocha.kh@gmail.com,https://hooks.slack.com/services/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,MOFUNV2,T,"當車輛外觀刮傷(不包含破裂,損壞,見底漆)的維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。",F,T,ZOCHA高雄站前店,T,,ZOCHA高雄站前店,T,,T,1,T,F,T,F,3,3,,none,F
38,Mofun測試店,台北市萬華區漢口街二段74巷4號1樓,1,,,,0226559021,1,,,,,T,T,T,T,F,F,zocha.kh@gmail.com,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,Mofun測試店,T,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),Mofun測試店,T,,F,,F,T,F,F,,,,none,F
39,乙順,小琉球,16,,,,0226559021,1,,,,,T,T,F,F,F,F,,,ES,F,,F,F,乙順,T,,乙順,T,,F,,F,T,F,F,,,,none,F
40,新竹力成車業店,300新竹市東區中華路一段250號,8,,,,035428363,1,,,,,T,T,F,T,F,F,,,MOFUN,T,,F,T,新竹力成車業店,F,,新竹力成車業店,T,,F,,F,T,F,F,,,,none,F
41,新竹星城機車出租,新竹市經國路2段225號,8,,,,035348190,1,,,,,T,F,F,F,T,T,,,MOFUN,T,,F,T,新竹星城機車出租,F,,新竹星城機車出租,T,,F,,F,T,F,F,,,,none,F
42,ZOCHA無人店,台東市新站路237巷11-1號,10,22.792765436387988,121.12479247528638,,0226559021,1,,,,,F,T,T,T,F,F,,,MOFUN,T,,F,F,ZOCHA無人店,T,,ZOCHA無人店,T,,F,,F,T,F,F,,,,none,F
43,格上租車,台北市萬華區漢口街二段74巷4號1樓,1,,,,0226559021,1,,,,,T,T,T,T,F,F,,,MOFUNV2,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,格上租車,T,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),格上租車,T,,F,2,F,T,F,F,,,,none,F
44,台中民運租安興安店,台中市北屯區興安路二段12號,2,,,,04-224-37097,1,,,,,T,T,F,F,F,F,,,MOFUNV2,T,,F,F,台中民運租安興安店,T,,台中民運租安興安店,T,,F,,F,T,F,F,,,,none,F
45,乙順綠能小琉球碼頭店,屏東縣琉球鄉民生路244-2號,11,,,,08-861-2321,1,,,,,T,T,F,F,F,F,,,MOFUNV2,F,,F,F,乙順綠能小琉球碼頭店,T,,乙順綠能小琉球碼頭店,T,,F,,F,T,F,F,,,,none,F
46,可租-台中大雅店,建國二路215號,2,,,,072367771,1,,,,,T,T,F,F,F,F,,,MOFUNV2,F,,F,F,可租-台中大雅店,F,,可租-台中大雅店,T,,F,,F,T,F,F,,,,none,F
47,ZOCHA綠島店,無,10,,,,26559021,1,,,,,T,T,T,T,F,T,,,MOFUNV2,T,,F,T,ZOCHA綠島店,T,,ZOCHA綠島店,T,,F,,T,T,F,F,,,,none,F
48,Supefast E-bikes 台北西門店,高雄市三民區建國二路215號,16,,,,072367771,1,,,,,T,F,F,F,F,F,,,MOFUNV2,F,,F,F,Supefast E-bikes 台北西門店,T,,Supefast E-bikes 台北西門店,T,,F,,F,T,F,F,,,,none,F
50,測試店家停業,test,1,,,,test-26559021,0,,,,,T,T,F,F,F,F,,,MOFUN,F,,F,F,測試店家停業,F,,測試店家停業,T,,F,,F,T,F,F,,,,none,F
51,ZOCHA-廠商測試用,0,1,,,2020/09/,0,1,store/1-9c83610a0ea5f7b6d98.png,20201213092329,admin,,T,T,T,F,F,F,tlchenj@gmail.com,https://hooks.slack.com/services/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,HKENTING,F,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,ID,F,ZOCHA-廠商測試用,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),ZOCHA-廠商測試用,T,,F,,T,T,F,F,,,,none,F
52,社區大樓共享機車-測試,台北市萬華區漢口街二段74巷4號1樓,1,25.045938781327695,121.5046423488893,,02-2655-9021,1,,,,,T,T,T,F,F,F,,,UP,T,,F,F,社區大樓共享機車,T,,社區大樓共享機車,T,,F,1,T,T,F,F,,,,none,F
