carNo,disName,catProdId,storeId,plusInsurance,prodId,birthday,buyDate,buyDistance,nowDistance,status,updateDate,updator,prodCatId,pic1,pic2,pic3,pic4,officeImg,describeImg,prodPriceRowId,monthStartDistance,clientOrderId,contractMonthOfDate,engineId,color,insuranceDueDate,lat,lng,locatUpdateDate,enabledDistance,ccType,carNoDisName,contractMileage,deductibleMileage,keyBoxDoorId,ecoAuto,enabledEco,maintainDistance,maintainDays,lastMaintainDistance,lastMaintainDate,carOwner,statusChangeMsg,statusChangeDate,iotType,isPutKeyBox
EMD-8121,GOGO,,31,,16125000020610693,2018-04-01,2018-09-06,0,10541,1,20210910092237,admin,3,prod/16125000020610693-1-6080aed937169e7c5be.jpg,prod/16125000020610693-2-334e7f3759bf991ba04.jpg,prod/16125000020610693-3-0e53fae3b074158d1f4.jpg,prod/1-4-b9c504fa56a049919b5.png,office_prod/16125000020610693-officeImg-8188688530384c8fd8e.png,,,10541,,1,RHMGSBT10J0045416,紅色,20210910,,,,T,M,EMD-8121,400,400,,,F,0,0,0,,,,,,F
EMD-8102,GOGO,,31,,16125008403890571,2018-04-01,2018-05-28,0,17048,1,20210910091632,admin,3,prod/16125008403890571-1-c422c8fa1b9e077d5a0.jpg,prod/16125008403890571-2-993b7bedb58b58af5b2.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16125008403890571-officeImg-1eae7ae6ce239862c44.png,,,17048,16918856081100237,28,RHMGSBT10J0044505,白色,20210910,,,,T,M,EMD-8102,400,400,,,F,0,0,0,,,,,,F
EMD-8091,GOGO,,14,,16125012869860104,2018-03-01,2018-05-28,0,100000,1,20210625160222,admin,3,prod/16125012869860104-1-97a7fd4c4199b04abb5.jpg,prod/16125012869860104-2-2afc31e24a27622bfc9.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16125012869860104-officeImg-0dff604e146e9e5ad49.png,,,100000,,1,RHMGSBT100040447,藍色,,22.998936666666665,120.21277666666667,20230112140500,T,M,EMD-8091,400,400,,,F,0,0,0,,,,,,F
EMD-7175,GOGO,,14,,16125015508540328,2018-04-01,2018-05-03,0,13940,1,20210625124502,admin,3,prod/16125015508540328-1-7262d8e6188cf37339f.jpg,prod/16125015508540328-2-66f65edd499ae1b7569.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16125015508540328-officeImg-8ee163965c752b4df31.png,,,13940,,30,RHMGSBT10J0043778,白色,,,,,T,M,EMD-7175,400,400,,,F,0,0,0,,,,,,F
EMD-7161,GOGO,,14,,16125017300830820,2018-04-01,2018-05-03,0,16053,1,20210625122815,admin,3,prod/16125017300830820-1-cbb9a4c859ec32a8ab5.jpg,prod/16125017300830820-2-368fb15e469f89cb739.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16125017300830820-officeImg-1eae7ae6ce239862c44.png,,,16053,,30,RHMGSBT10J0044471,白色,,,,,T,M,EMD-7161,400,400,,,F,0,0,0,,,,,,F
EMD8120,,,2,,16125152618100972,2018-05-28,2018-05-28,0,0,1,20241213120323,admin,3,,,,,,,,0,,28,RHMGSBT10J0045414,紅色,20210928,,,,F,M,EMD8120,400,400,,,F,0,0,0,,,okk,20241213120323,,F
EMD-6833,,,1,,16125154256620122,2018-04-01,2018-04-25,0,7730,1,20241218165246,admin,4,prod/16125154256620122-1-ca86577e7b42f9cdb39.jpg,prod/16125154256620122-2-b95946186d2f9d68429.jpg,,,office_prod/16125154256620122-officeImg-3d2b5a23dd4ceda5c57.png,,,7730,,1,RHMGSBT10J0042735,黃綠色,20211206,,,,T,S,TP1,400,400,,,F,500,15,7000,,,ok,20241218165246,,F
ENY-2305,,,48,,16125158066720152,2019-12-01,2020-01-31,1300,0,1,20240518161418,admin,1,prod/16125158066720152-1-93af9f5f2f095796831.jpg,prod/16125158066720152-2-90bf19ef98b69e01d5c.jpg,prod/16125158066720152-3-42b78036207acd7d9dc.jpg,,office_prod/16125158066720152-officeImg-2eac65004d700792930.png,,,0,,28,RHMGSPT10K0023488,灰色,20211215,,,,F,M,ENY-2305,400,400,,31210018170,F,500,20,2700,,,,,,F
EQB-3278,,,22,,16146775356940917,,,0,61,1,20230112155518,admin,1,prod/16146775356940917-1-24833dd95774dab0bb8.jpg,prod/16146775356940917-2-3446ffcfc8bfe103e78.jpg,prod/16146775356940917-3-a28659aa13118fa3736.png,,office_prod/16146775356940917-officeImg-d4059a113371b49fe78.png,,,61,,1,2,灰,,,,,T,M,EQB-3278,400,400,,,F,0,0,0,,,,,,F
MKW-6097,,,15,,16156137962070615,2017-07-01,2021-03-13,8048,10012,1,20210701111458,admin,3,prod/16156137962070615-1-0ce7c8325ae785803f1.jpg,prod/16156137962070615-2-ae14d973f99ec497d7c.jpg,,,office_prod/16156137962070615-officeImg-8ee163965c752b4df31.png,,,10012,,1,8,黑,,,,,T,M,MKW-6097,400,400,,,F,0,0,0,,,,,,F
EMD-6808,,,3,,16163043600060872,2021-03-21,2021-03-21,10000,1,1,20210720104346,zocha.tc,3,prod/16163043600060872-1-306817ed1047482df3f.jpg,prod/16163043600060872-2-49b08b731a524906297.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163043600060872-officeImg-3bda4a9f23912382c98.png,,,1,,0,6808,橘,20220602,,,,T,M,EMD-6808,10000,10000,,,F,0,0,0,,,,,,F
EMD-6816,,,3,,16163045221800850,2021-03-21,2021-03-21,0,10808,1,20210625132341,admin,3,prod/16163045221800850-1-720821746c5cb270431.jpg,prod/16163045221800850-2-2d2935f6e964afe65f0.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163045221800850-officeImg-3bda4a9f23912382c98.png,,,10808,,1,6816,橘,,,,,T,M,EMD-6816,400,400,,,F,0,0,0,,,,,,F
EMD-6819,,,3,,16163047949620009,2021-03-21,2021-03-21,0,1005,1,20210705153133,zocha.tc,3,prod/16163047949620009-1-efcc2116750af14cc2c.jpg,prod/16163047949620009-2-861a68cbb7f667bedb8.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163047949620009-officeImg-0dff604e146e9e5ad49.png,,,1005,,1,6819,藍,20220602,,,,T,M,EMD-6819,400,400,,,F,0,0,0,,,,,,F
EMD-6832,,,3,,16163048273310550,2021-03-21,2021-03-21,0,5809,1,20210625150222,admin,3,prod/16163048273310550-1-13c9ac518935ba13a2b.jpg,prod/16163048273310550-2-586233959d2b7ef4474.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163048273310550-officeImg-3d2b5a23dd4ceda5c57.png,,,5809,,1,6832,黃,,,,,T,M,EMD-6832,400,400,,,F,0,0,0,,,,,,F
EMD-6850,,,3,,16163048653940428,2021-03-21,2021-03-21,0,15405,1,20210625151948,admin,3,prod/16163048653940428-1-25e44d9fd8ea5ace8ac.jpg,prod/16163048653940428-2-16fca9f7141fc70e913.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163048653940428-officeImg-3d2b5a23dd4ceda5c57.png,,,15405,,1,6580,黃,20220602,,,,T,M,EMD-6850,400,400,,,F,0,0,0,,,,,,F
EMD-7160,,,3,,16163049906160692,2021-03-21,2021-03-21,0,16052,1,20210625122735,admin,1,prod/16163049906160692-1-51b4049ec98735e098f.jpg,prod/16163049906160692-2-8c44bf61b97f242c8ee.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163049906160692-officeImg-8ee163965c752b4df31.png,,,16052,,1,7160,黑,20221111,,,,T,M,EMD-7160,400,400,,,F,0,0,0,,,,,,F
EMD-7166,,,3,,16163050691610116,2021-03-21,2021-03-21,0,13978,1,20210625123300,admin,3,prod/16163050691610116-1-9ad0daabd3081b45fa1.jpg,prod/16163050691610116-2-95aad363a171ec1b28b.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163050691610116-officeImg-8188688530384c8fd8e.png,,,13978,,1,7166,紅,,,,,T,M,EMD-7166,400,400,,,F,0,0,0,,,,,,F
EMD-7172,,,3,,16163051357580678,2021-03-21,2021-03-21,0,6335,1,20210625123713,admin,3,prod/16163051357580678-1-89800b8301c09a5c0be.jpg,prod/16163051357580678-2-2c09435d532c354c915.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163051357580678-officeImg-8ee163965c752b4df31.png,,,6335,,1,7172,黑,,,,,T,M,EMD-7172,400,400,,,F,0,0,0,,,,,,F
EMD-7180,,,3,,16163051812090410,2021-03-21,2021-03-21,0,14156,1,20210625125359,admin,3,prod/16163051812090410-1-5e38a8472c894848fb0.jpg,prod/16163051812090410-2-02cf07183fd4188119f.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163051812090410-officeImg-1eae7ae6ce239862c44.png,,,14156,,1,7180,白,,,,,T,M,EMD-7180,400,400,,,F,0,0,0,,,,,,F
EMD-8081,,,3,,16163053728670672,2021-03-21,2021-03-21,0,6516,1,20210625155741,admin,3,prod/16163053728670672-1-25b9aeaadf1289638bb.jpg,prod/16163053728670672-2-eb3da132855de4f0a48.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163053728670672-officeImg-0dff604e146e9e5ad49.png,,,6516,,1,8081,藍,,,,,T,M,EMD-8081,400,400,,,F,0,0,0,,,,,,F
EMD-8082,,,3,,16163053981600108,2021-03-21,2021-03-21,0,7100,1,20210625155832,admin,3,prod/16163053981600108-1-2f66fff17f4befdc030.jpg,prod/16163053981600108-2-8d6c3d8899240887925.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163053981600108-officeImg-3d2b5a23dd4ceda5c57.png,,,7100,,1,8082,黃,,,,,T,M,EMD-8082,400,400,,,F,0,0,0,,,,,,F
EMD-8085,,,3,,16163054301810586,2021-03-21,2021-03-21,0,10001,1,20210625155934,admin,3,prod/16163054301810586-1-6a97e48e93351cb525d.jpg,prod/16163054301810586-2-906ef5190ae4990281e.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163054301810586-officeImg-3bda4a9f23912382c98.png,,,10001,,1,8085,橘,,,,,T,M,EMD-8085,400,400,,,F,0,0,0,,,,,,F
EMD-8087,,,1,,16163054520790431,2021-03-21,2021-03-21,1000,0,1,20250206160548,admin,3,prod/16121890722780647-1-685d60e9b99a6b29b05.png,,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,,,,0,,0,8087,橘,20250206,,,,T,M,EMD-8087,0,0,2,119216023737224,T,0,0,0,,,,,ECO,T
EMD-8095,,,3,,16163054791480683,2021-03-21,2021-03-21,0,18156,1,20210625160702,admin,3,prod/16163054791480683-1-8d78de4eb981bf9ab1d.jpg,prod/16163054791480683-2-b4666707676c299f323.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163054791480683-officeImg-0dff604e146e9e5ad49.png,,,18156,,1,8095,藍,,,,,T,M,EMD-8095,400,400,,,F,0,0,0,,,,,,F
EMD-8096,,,3,,16163055079740101,2021-03-21,2021-03-21,0,5228,1,20210625160914,admin,3,prod/16163055079740101-1-8937dbed6594e438afe.jpg,prod/16163055079740101-2-b7096bc424729841de9.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163055079740101-officeImg-3d2b5a23dd4ceda5c57.png,,,5228,,1,8096,黃,,,,,T,M,EMD-8096,400,400,,,F,0,0,0,,,,,,F
EMD-8101,,,3,,16163055298410935,2021-03-21,2021-03-21,0,9108,1,20210625162903,admin,3,prod/16163055298410935-1-57fa7ef01333ea5225a.jpg,prod/16163055298410935-2-5bed1cad421530bb956.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163055298410935-officeImg-1eae7ae6ce239862c44.png,,,9108,,1,8101,白,,,,,T,M,EMD-8101,400,400,,,F,0,0,0,,,,,,F
EMD-8110,,,3,,16163055614790252,2021-03-21,2021-03-21,0,7716,1,20210625164024,admin,3,prod/16163055614790252-1-2e5193a7a1ea2a5aa25.jpg,prod/16163055614790252-2-387290e026a422f5347.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163055614790252-officeImg-8ee163965c752b4df31.png,,,7716,,1,8110,黑,,,,,T,M,EMD-8110,400,400,,,F,0,0,0,,,,,,F
EMD-8112,,,3,,16163055819010977,2021-03-21,2021-03-21,0,12758,1,20210625165548,admin,3,prod/16163055819010977-1-3a2b6bf8e7f7d2e60e0.jpg,prod/16163055819010977-2-1b837d750c5118ab62e.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163055819010977-officeImg-8ee163965c752b4df31.png,,,12758,,1,8112,黑,,,,,T,M,EMD-8112,400,400,,,F,0,0,0,,,,,,F
EMD-8132,,,3,,16163055986060786,2021-03-21,2021-03-21,0,1000,1,20210625171548,admin,3,prod/16163055986060786-1-23f2242e9621aec15f1.jpg,prod/16163055986060786-2-4787ee5efc12f29bcf8.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163055986060786-officeImg-8ee163965c752b4df31.png,,,1000,,1,8132,黑,,,,,T,M,EMD-8132,400,400,,,F,0,0,0,,,,,,F
EMD-8135,,,3,,16163056260430688,2021-03-21,2021-03-21,0,9746,1,20210625171719,admin,3,prod/16163056260430688-1-d36a5ed18a7c917a23d.jpg,prod/16163056260430688-2-59b4dd2723be50885dc.jpg,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163056260430688-officeImg-3d2b5a23dd4ceda5c57.png,,,9746,,1,8135,黃,,,,,T,M,EMD-8135,400,400,,,F,0,0,0,,,,,,F
EMD-8136,,,14,,16163056972680848,2021-03-21,2021-03-21,0,14927,1,20210628104623,admin,3,prod/16121890722780647-1-685d60e9b99a6b29b05.png,,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,,,,14927,,1,8136,黃,,,,,T,M,EMD-8136,400,400,,,F,0,0,0,,,,,,F
ENE-5132,,,3,,16163057363880136,2021-03-21,2021-03-21,0,1000,1,20210627141626,admin,1,prod/16163057363880136-1-78774de493bd3a78566.jpg,prod/16163057363880136-2-0ffbfc4ae008384ea25.jpg,prod/16163057363880136-3-219ff0ebe170a7449ee.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163057363880136-officeImg-a364cead14c3a85d54d.png,,,1000,,1,5132,藍莓慕斯,,,,,T,M,ENE-5132,400,400,,,F,0,0,0,,,,,,F
ENU-0785,,,3,,16163057588640818,2021-03-21,2021-03-21,0,1000,1,20210627115950,admin,1,prod/16163057588640818-1-77ebe7062f7e2ff2d12.jpg,prod/16163057588640818-2-461a174635a6657379f.jpg,prod/16163057588640818-3-fa95080ea0fc7daba03.jpg,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163057588640818-officeImg-2eac65004d700792930.png,,,1000,,1,0785,芝麻灰,,,,,T,M,ENU-0785,400,400,,,F,0,0,0,,,,,,F
ENV-6085,,,3,,16163058448600179,2021-03-21,2021-03-21,0,2218,1,20210705160642,admin,2,prod/16163058448600179-1-0236a5067464326ec5a.jpg,prod/16163058448600179-2-b4f798791c2c3632edc.jpg,prod/16163058448600179-3-aa6667d9c8e5006a16b.jpg,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163058448600179-officeImg-fbcba06ad04f30cfe27.png,,,2218,,16,6085,寂光藍,,,,,T,M,ENV-6085,400,400,,,F,0,0,0,,,,,,F
ENV-6087,,,3,,16163058702480260,2021-03-21,2021-03-21,0,1003,1,20210627152942,admin,2,prod/16163058702480260-1-da15295523fa7b33be7.jpg,prod/16163058702480260-2-7f593c732ca5561520f.jpg,prod/16163058702480260-3-68c8977ffc3fde2e1cf.jpg,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163058702480260-officeImg-003b30d03c5f00bfec6.png,,,1003,,16,6087,深藍,,,,,T,M,ENV-6087,400,400,,,F,0,0,0,,,,,,F
EWD-8870,,,3,,16163058977980693,2021-03-21,2021-03-21,0,2071,1,20211206110658,admin,6,prod/16163058977980693-1-bd06fe6b03f98406962.jpg,prod/16163058977980693-2-4a64c54dfe6c30738b0.jpg,prod/16163058977980693-3-a9c34dbeeabf00526c5.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163058977980693-officeImg-cde1c1af194cbb923da.png,,,2071,,1,8870,芥末黃,20211206,,,,T,S,EWD-8870,400,400,,,F,0,0,0,,,,,,F
EWK-9610,,,3,,16163059643530502,2021-03-21,2021-03-21,0,12205,1,20210627145336,admin,6,prod/16163059643530502-1-108b0e64e8e049d72f0.jpg,prod/16163059643530502-2-8b1d9c4a582fcf67c13.jpg,prod/16163059643530502-3-a99b4209f9422e70ec7.jpg,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163059643530502-officeImg-11a581fb2e8373e9bf8.png,,,12205,,1,9610,海鹽白,,,,,T,M,EWK-9610,400,400,,,F,0,0,0,,,,,,F
MRN-5292,,,3,,16163059870030176,2021-03-21,2021-03-21,0,1001,1,20210625175450,admin,3,prod/16163059870030176-1-917a0af5f973a67de22.jpg,prod/16163059870030176-2-727704259357609895b.jpg,prod/16163059870030176-3-3cf1c309013ec8be2c4.jpg,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,office_prod/16163059870030176-officeImg-8ee163965c752b4df31.png,,,1001,,1,5292,黑,,,,,T,M,MRN-5292,400,400,,,F,0,0,0,,,,,,F
EMD-6817,,,27,,16166614081300456,2018-02-01,2018-04-25,0,0,1,20230112155544,admin,3,prod/16166614081300456-1-6e5f25c60b702c44a65.jpg,prod/16166614081300456-2-c216fb267ebe447a954.jpg,,,office_prod/16166614081300456-officeImg-3bda4a9f23912382c98.png,,,0,16655609273130858,1,RHMGSBT10J0034593,黃色,20230112,,,,T,M,EMD-6817,400,400,,,F,0,0,0,,,,,,F
EMD-7167,GOGO,,40,,16167282756620031,2018-04-01,2018-05-03,0,60,1,20230112155603,admin,3,prod/16167282756620031-1-c1ff868993e51ea4629.jpg,prod/16167282756620031-2-90aceab7398f4c07367.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16167282756620031-officeImg-8188688530384c8fd8e.png,,,60,,1,RHMGSBT10J0044536,紅色,20230112,,,,T,M,EMD-7167,400,400,,,F,0,0,0,,,,,,F
EMD-8098,GOGO,,41,,16167285041710220,2018-04-01,2018-05-18,0,64,1,20230112155622,admin,3,prod/16167285041710220-1-ab1d2ac0a47b92e61b9.jpg,prod/16167285041710220-2-1f7437640f9ccf3549f.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16167285041710220-officeImg-0dff604e146e9e5ad49.png,,,64,,1,RHMGSBT10J0042871,藍色,20230112,,,,T,M,EMD-8098,400,400,,,F,0,0,0,,,,,,F
EMD-8133,GOGO,,27,,16167286944660870,2021-05-01,2018-05-28,0,61,1,20230112160036,admin,3,prod/16167286944660870-1-c8c185c1409c95d1ccf.jpg,prod/16167286944660870-2-9c81d261ebd1e763936.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16167286944660870-officeImg-3d2b5a23dd4ceda5c57.png,,,61,,1,RHMGSBT10J0046320,黃色,20230112,,,,T,M,EMD-8133,400,400,,,F,0,0,0,,,,,,F
EMD-8090,,,1,,16167311669740784,2018-03-01,2018-05-28,0,116561,1,20241218165237,admin,3,prod/16167311669740784-1-e5a874d1514676a4c4a.jpg,prod/16167311669740784-2-4d9829cedc45d171634.jpg,,,office_prod/16167311669740784-officeImg-3bda4a9f23912382c98.png,,,116561,,1,RHMGSBT10J0039983,橘色,20230529,,,,T,M,EMD-8090,400,400,,,F,3000,180,100000,20240201,,ok,20241218165237,,F
EMD-8099,,,1,,16167313599000635,2023-05-23,2023-05-24,1000,10,1,20231129220632,admin,3,prod/16167313599000635-1-f59e96f1e4812debf3c.jpg,prod/16167313599000635-2-d45f44655f1ce0282d2.jpg,,,office_prod/16167313599000635-officeImg-3d2b5a23dd4ceda5c57.png,,,10,,1,RHMGSBT10J0042887,黃色,20230529,,,,T,M,EMD-8099,400,400,,,F,500,20,7600,,,,,,F
EMD-6809,,,21,,16184520717040138,2018-02-01,2017-04-25,0,20002,1,20210924150035,admin,3,prod/16184520717040138-1-be8d3dc9075e48df7c8.jpg,prod/16184520717040138-2-1302a85e2baef950faf.jpg,,,office_prod/16184520717040138-officeImg-3bda4a9f23912382c98.png,,,20002,,1,100,橘,20210924,,,,T,M,EMD-6809,400,400,,,F,0,0,0,,,,,,F
EMD-6812,,,45,,16184522797870235,,,0,0,1,20231129220358,admin,3,prod/16184522797870235-1-907f563a9f3c9f2cc29.jpg,prod/16184522797870235-2-5b9169ddc323dacc17a.jpg,,,office_prod/16184522797870235-officeImg-3bda4a9f23912382c98.png,,,0,,1,101,橘,20240315,,,,F,M,EMD-6812,400,400,,31210017317,F,0,0,0,,,,,,F
EMD-6813,,,15,,16184524289900213,2018-02-01,2021-04-15,14633,150000,1,20210701111530,admin,3,prod/16184524289900213-1-3660beb73e639962621.jpg,prod/16184524289900213-2-2e030f91b61971f2727.jpg,,,office_prod/16184524289900213-officeImg-3bda4a9f23912382c98.png,,,150000,,1,102,橘,,,,,T,M,EMD-6813,400,400,,,F,0,0,0,,,,,,F
EMD-6818,,,15,,16184524762620761,2018-03-01,2021-04-15,0,14898,1,20210701111543,admin,3,prod/16184524762620761-1-ea38b9893aa1c7e1bcf.jpg,prod/16184524762620761-2-5e17df7f8339d824962.jpg,,,office_prod/16184524762620761-officeImg-0dff604e146e9e5ad49.png,,,14898,,1,103,藍,,24.136061666666667,120.68606166666666,20220701154500,T,M,EMD-6818,400,400,,,F,0,0,0,,,,,,F
